 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)
1	0.000	1.000	32.370	9.295	26.520	10.595	7.509	5.993	5.981	44.912	NaN	NaN	NaN	1.000	42.705	10.270	43.095	11.375	4.367	1.172	1.052	4.593	NaN	NaN	NaN	1.000	32.630	11.505	26.065	14.885	8.172	7.384	7.362	60.160	NaN	NaN	NaN	1.000	39.000	11.765	31.005	15.665	4.587	8.896	4.888	22.422	NaN	NaN	NaN	25.000	33.800	12.610	33.865	12.805	7.876	0.206	0.080	0.630	NaN	NaN	NaN
2	1.000	2.000	32.760	9.360	26.455	10.530	7.197	6.413	6.374	45.875	0.393	0.052	-0.372	2.000	42.705	10.335	43.095	11.310	4.320	1.050	0.965	4.170	-0.087	-0.060	0.060	2.000	32.825	11.440	26.065	14.950	7.993	7.617	7.599	60.739	0.237	0.030	-0.203	2.000	38.870	11.830	30.940	15.730	4.616	8.837	5.184	23.930	0.296	0.087	0.145	26.000	33.735	12.545	33.670	12.740	7.925	0.206	0.177	1.403	0.097	3.431E-15	-0.041
3	2.000	3.000	32.890	9.360	26.390	10.530	7.135	6.604	6.559	46.796	0.185	0.064	-0.128	3.000	42.640	10.270	43.030	11.310	4.183	1.111	1.016	4.250	0.051	-0.023	-0.084	3.000	33.085	11.180	25.935	15.015	7.692	8.114	8.107	62.361	0.508	0.145	-0.352	3.000	38.740	11.830	30.680	15.730	4.653	8.954	5.502	25.604	0.318	0.234	0.117	27.000	33.865	12.415	33.735	12.740	7.741	0.350	0.311	2.408	0.134	-0.024	-0.169
4	3.000	4.000	32.890	9.360	26.195	10.595	7.348	6.808	6.783	49.842	0.224	0.204	NaN	4.000	42.640	10.205	43.095	11.310	3.862	1.195	1.114	4.301	0.098	0.025	-0.060	4.000	33.215	11.115	25.740	15.080	7.709	8.461	8.461	65.221	0.353	0.203	-0.145	4.000	38.415	12.220	30.550	15.795	5.057	8.639	5.827	29.465	0.325	0.145	0.457	28.000	33.995	12.415	33.865	12.805	7.503	0.411	0.357	2.679	0.046	0.021	-0.041
5	4.000	5.000	32.825	9.360	25.935	10.595	7.378	7.000	6.982	51.511	0.199	0.256	0.064	5.000	42.640	10.205	43.095	11.310	3.769	1.195	1.103	4.157	-0.011	NaN	NaN	5.000	33.410	11.050	25.610	15.145	7.444	8.810	8.809	65.580	0.349	0.145	-0.203	5.000	38.220	12.480	30.355	15.795	5.242	8.535	5.757	30.179	-0.070	0.180	0.281	29.000	34.190	12.220	33.930	12.870	7.223	0.700	0.631	4.555	0.274	0.036	-0.253
6	5.000	6.000	32.890	9.295	25.675	10.660	7.318	7.343	7.340	53.717	0.358	0.268	-0.076	6.000	42.640	10.205	43.095	11.310	3.586	1.195	1.091	3.912	-0.012	NaN	NaN	6.000	33.540	10.985	25.480	15.145	7.267	9.070	9.069	65.910	0.260	0.116	-0.145	6.000	37.960	12.870	30.160	15.860	5.540	8.353	5.700	31.578	-0.057	0.205	0.382	30.000	34.320	12.220	34.060	12.935	7.081	0.761	0.681	4.821	0.050	0.017	-0.044
7	6.000	7.000	32.890	9.360	25.480	10.725	7.382	7.535	7.531	55.593	0.191	0.204	0.012	7.000	42.640	10.270	43.160	11.375	3.539	1.221	1.144	4.048	0.053	0.086	0.059	7.000	33.540	10.920	25.480	15.080	7.269	9.070	9.065	65.893	-0.004	-0.030	-0.030	7.000	37.765	13.130	29.900	15.860	5.821	8.325	5.661	32.955	-0.038	0.246	0.269	31.000	34.385	12.220	34.060	12.935	7.081	0.785	0.728	5.155	0.047	NaN	-0.027
8	7.000	8.000	32.955	9.360	25.480	10.660	7.355	7.587	7.585	55.791	0.054	-0.011	-0.064	8.000	42.640	10.335	43.160	11.440	3.447	1.221	1.143	3.942	-1.485E-4	0.059	0.059	8.000	33.540	10.855	25.545	15.015	7.247	9.013	8.994	65.175	-0.071	-0.088	-0.030	8.000	37.570	13.325	29.770	15.925	5.989	8.222	5.729	34.307	0.067	0.144	0.247	32.000	34.450	12.155	34.125	12.935	6.944	0.845	0.770	5.349	0.042	-0.025	-0.085
9	8.000	9.000	32.825	9.360	25.285	10.660	7.471	7.651	7.651	57.156	0.065	0.192	0.128	9.000	42.575	10.335	43.225	11.505	3.356	1.338	1.282	4.301	0.138	0.088	-0.032	9.000	33.475	10.985	25.610	15.015	7.332	8.837	8.825	64.706	-0.169	-0.058	0.117	9.000	37.310	13.585	29.575	15.925	6.279	8.081	5.606	35.203	-0.122	0.187	0.324	33.000	34.580	12.025	34.060	13.065	6.852	1.163	1.090	7.470	0.320	0.145	-0.174
10	9.000	10.000	32.890	9.360	25.025	10.725	7.504	7.983	7.961	59.742	0.311	0.267	-0.064	10.000	42.640	10.400	43.290	11.635	3.779	1.396	1.360	5.138	0.078	0.145	0.088	10.000	33.410	10.920	25.610	15.015	7.558	8.810	8.808	66.569	-0.017	NaN	0.027	10.000	37.180	13.715	29.380	15.925	6.861	8.107	5.388	36.969	-0.218	0.188	0.161	34.000	34.580	11.960	33.865	13.260	6.760	1.484	1.410	9.532	0.320	0.265	-0.057
11	10.000	11.000	32.825	9.360	24.765	10.790	7.552	8.186	8.172	61.710	0.210	0.267	0.064	11.000	42.640	10.400	43.290	11.765	3.730	1.512	1.453	5.421	0.094	0.117	NaN	11.000	33.410	10.920	25.480	15.080	7.529	8.955	8.952	67.397	0.144	0.145	NaN	11.000	37.050	13.975	29.120	15.925	7.093	8.166	5.239	37.163	-0.149	0.252	0.188	35.000	34.515	12.025	33.865	13.325	6.713	1.453	1.366	9.168	-0.044	0.058	0.087
12	11.000	12.000	32.890	9.360	24.635	10.855	7.489	8.389	8.375	62.720	0.204	0.140	-0.064	12.000	42.640	10.400	43.290	11.700	3.730	1.453	1.405	5.239	-0.049	-0.058	NaN	12.000	33.410	10.985	25.350	15.145	7.558	9.070	9.069	68.546	0.118	0.145	0.030	12.000	36.920	14.040	28.860	15.990	7.209	8.293	5.374	38.743	0.135	0.268	0.142	36.000	34.580	11.960	33.735	13.455	6.621	1.717	1.641	10.867	0.275	0.177	-0.089
13	12.000	13.000	32.760	9.360	24.570	10.920	7.552	8.337	8.328	62.893	-0.047	0.076	0.128	13.000	42.640	10.335	43.355	11.700	3.725	1.541	1.487	5.539	0.082	0.030	-0.058	13.000	33.345	11.050	25.155	15.210	7.587	9.186	9.186	69.696	0.116	0.203	0.087	13.000	37.115	13.975	28.925	15.990	7.037	8.434	5.304	37.324	-0.070	-0.063	-0.205	37.000	34.515	11.960	33.735	13.455	6.621	1.686	1.594	10.554	-0.047	NaN	0.030
14	13.000	14.000	32.825	9.360	24.440	10.920	7.552	8.529	8.518	64.326	0.190	0.128	-0.064	14.000	42.575	10.140	43.355	11.700	3.494	1.744	1.669	5.831	0.182	NaN	-0.203	14.000	33.345	11.050	24.895	15.340	7.645	9.477	9.477	72.450	0.291	0.291	NaN	14.000	37.245	13.975	28.925	15.925	7.009	8.545	5.244	36.758	-0.060	-0.015	-0.127	38.000	34.645	11.830	33.670	13.455	6.529	1.895	1.825	11.915	0.231	0.033	-0.178
15	14.000	15.000	32.760	9.295	24.310	11.180	7.523	8.658	8.658	65.128	0.140	0.183	0.049	15.000	42.510	10.205	43.225	11.700	3.494	1.657	1.577	5.509	-0.092	-0.056	0.031	15.000	33.345	10.985	24.830	15.405	7.529	9.594	9.591	72.214	0.115	0.088	-0.030	15.000	36.985	14.040	28.730	15.990	7.093	8.482	5.382	38.177	0.138	0.205	0.268	39.000	34.580	11.895	33.605	13.455	6.668	1.840	1.777	11.851	-0.048	0.034	0.090
16	15.000	16.000	32.760	9.360	24.180	11.245	7.537	8.785	8.784	66.206	0.127	0.141	0.014	16.000	42.575	10.270	43.355	11.765	3.586	1.686	1.621	5.814	0.044	0.118	0.088	16.000	33.345	10.985	24.700	15.535	7.529	9.769	9.765	73.523	0.174	0.176	NaN	16.000	36.985	14.040	28.730	15.990	7.093	8.482	5.382	38.177	NaN	NaN	NaN	40.000	34.060	12.025	33.150	12.740	7.149	1.157	1.157	8.268	-0.621	-0.084	0.489
17	16.000	17.000	32.565	9.425	24.050	11.310	7.678	8.721	8.720	66.958	-0.064	0.141	0.204	17.000	42.640	10.270	43.355	11.765	3.677	1.657	1.563	5.746	-0.058	NaN	0.028	17.000	33.085	11.245	24.570	15.600	7.820	9.564	9.564	74.791	-0.201	0.145	0.350	17.000	36.985	14.040	28.795	15.990	7.065	8.419	5.300	37.442	-0.082	-0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
18	17.000	18.000	32.565	9.425	23.985	11.440	7.709	8.813	8.812	67.934	0.092	0.093	NaN	18.000	42.640	10.140	43.290	11.700	3.677	1.690	1.563	5.746	3.109E-15	-0.085	-0.120	18.000	33.020	11.375	24.505	15.600	7.999	9.506	9.498	75.978	-0.066	0.058	0.116	18.000	37.180	13.910	28.730	15.990	6.983	8.702	5.359	37.417	0.059	0.063	-0.220	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
19	18.000	19.000	32.695	9.490	23.920	11.440	7.646	8.989	8.985	68.699	0.173	0.063	-0.113	19.000	42.640	10.140	43.290	11.700	3.585	1.690	1.563	5.602	4.441E-16	NaN	NaN	19.000	32.890	11.440	24.505	15.665	8.171	9.389	9.387	76.701	-0.111	0.029	0.145	19.000	37.180	13.910	28.600	16.055	6.950	8.844	5.557	38.621	0.198	0.142	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20	19.000	20.000	32.760	9.490	24.050	11.505	7.583	8.940	8.937	67.773	-0.047	-0.112	-0.063	20.000	42.575	10.075	43.225	11.505	3.493	1.571	1.471	5.138	-0.092	-0.204	-0.086	20.000	32.890	11.505	24.375	15.665	8.202	9.477	9.469	77.660	0.082	0.117	0.029	20.000	37.115	13.910	28.535	16.055	6.978	8.844	5.615	39.178	0.058	0.063	0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
21	20.000	21.000	32.760	9.425	24.115	11.375	7.583	8.862	8.858	67.173	-0.079	-0.092	-0.014	21.000	42.575	10.075	43.225	11.505	3.539	1.571	1.478	5.231	0.007	NaN	NaN	21.000	32.695	11.635	24.310	15.730	8.466	9.332	9.320	78.902	-0.149	0.087	0.232	21.000	37.115	13.845	28.405	16.055	6.978	8.986	5.729	39.977	0.114	0.126	-0.016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
22	21.000	22.000	32.435	9.425	24.180	11.375	7.772	8.482	8.481	65.918	-0.377	-0.063	0.316	22.000	42.575	10.140	43.160	11.375	3.677	1.367	1.287	4.732	-0.191	-0.145	0.059	22.000	32.500	11.765	24.180	15.795	8.586	9.245	9.226	79.219	-0.094	0.145	0.232	22.000	37.050	13.910	28.275	16.120	7.009	9.049	5.670	39.745	-0.059	0.142	0.079	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
23	22.000	23.000	32.110	9.490	24.115	11.440	7.930	8.229	8.228	65.251	-0.253	0.079	0.331	23.000	42.575	10.075	43.095	11.310	3.817	1.340	1.222	4.664	-0.065	-0.085	-0.060	23.000	32.435	11.895	24.115	15.925	8.572	9.245	9.207	78.923	-0.019	0.115	0.115	23.000	37.050	13.845	28.080	16.120	6.930	9.254	5.625	38.980	-0.046	0.189	-0.016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
24	23.000	24.000	31.980	9.490	24.050	11.570	7.993	8.198	8.198	65.530	-0.030	0.096	0.126	24.000	42.510	10.075	43.095	11.245	3.817	1.308	1.225	4.677	0.003	-0.058	-0.029	24.000	32.370	11.830	24.115	15.925	8.539	9.215	9.189	78.467	-0.017	NaN	0.029	24.000	37.115	13.910	27.885	16.120	6.940	9.491	5.507	38.219	-0.118	0.190	-0.048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
25	24.000	25.000	31.915	9.490	23.920	11.700	8.073	8.295	8.294	66.958	0.096	0.160	0.063	25.000	42.510	10.010	43.030	11.180	3.817	1.280	1.178	4.495	-0.048	-0.086	-0.059	25.000	32.175	11.960	24.050	15.990	8.806	9.070	9.039	79.599	-0.150	0.087	0.232	25.000	37.180	13.715	27.690	16.185	6.796	9.806	5.832	39.631	0.325	0.205	-0.112	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
26	25.000	26.000	31.915	9.490	23.725	12.025	8.090	8.573	8.569	69.320	0.275	0.282	NaN	26.000	42.575	10.140	42.965	10.985	3.999	0.931	0.870	3.477	-0.308	-0.204	0.145	26.000	31.980	12.025	23.985	16.055	9.041	8.953	8.927	80.702	-0.112	0.087	0.203	26.000	37.245	13.715	27.690	16.185	6.832	9.869	5.757	39.335	-0.075	NaN	-0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
27	26.000	27.000	31.980	9.555	23.530	12.285	8.045	8.880	8.875	71.394	0.306	0.265	-0.042	27.000	42.575	10.075	42.900	10.855	3.954	0.845	0.774	3.059	-0.096	-0.145	-0.060	27.000	32.175	11.895	24.050	15.990	8.806	9.099	9.072	79.895	0.146	-0.087	-0.233	27.000	37.180	13.715	27.495	16.185	6.856	9.995	5.876	40.285	0.119	0.189	0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
28	27.000	28.000	31.785	9.685	23.335	12.545	8.125	8.921	8.913	72.417	0.038	0.268	0.226	28.000	42.575	10.140	42.900	10.855	4.049	0.785	0.722	2.924	-0.052	NaN	0.059	28.000	32.110	11.895	24.050	16.055	8.717	9.070	9.052	78.906	-0.021	0.030	0.058	28.000	37.115	13.715	27.365	16.250	6.772	10.074	5.917	40.066	0.041	0.142	0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
29	28.000	29.000	31.655	9.685	23.205	12.740	8.206	8.985	8.970	73.608	0.058	0.189	0.122	29.000	42.510	10.010	42.900	10.855	4.005	0.931	0.853	3.418	0.131	NaN	-0.145	29.000	32.370	11.765	24.050	16.055	8.406	9.361	9.333	78.450	0.281	NaN	-0.291	29.000	37.310	13.650	27.495	16.250	6.681	10.154	5.700	38.084	-0.216	-0.126	-0.205	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
30	29.000	30.000	31.460	9.685	23.205	12.870	8.330	8.848	8.817	73.452	-0.153	0.047	0.182	30.000	42.510	10.075	42.900	10.855	4.097	0.872	0.811	3.321	-0.043	NaN	0.058	30.000	32.630	11.635	24.050	16.185	8.061	9.712	9.686	78.078	0.353	0.061	-0.291	30.000	37.245	13.650	27.625	16.250	6.681	9.965	5.636	37.653	-0.065	-0.125	0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
31	30.000	31.000	31.590	9.685	23.660	12.155	8.268	8.306	8.305	68.665	-0.512	-0.647	-0.124	31.000	42.510	10.140	42.900	10.920	4.093	0.872	0.818	3.346	0.007	0.058	0.058	31.000	32.695	11.570	23.920	16.380	8.027	10.007	9.993	80.212	0.307	0.208	-0.088	31.000	37.180	13.650	27.690	16.185	6.725	9.823	5.679	38.190	0.043	-0.080	0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
32	31.000	32.000	31.655	9.750	23.725	12.090	8.206	8.268	8.268	67.845	-0.037	-0.081	-0.044	32.000	42.575	10.140	42.900	10.855	4.097	0.785	0.719	2.945	-0.099	-0.059	0.027	32.000	32.825	11.505	23.855	16.510	7.848	10.272	10.264	80.550	0.271	0.120	-0.145	32.000	37.115	13.715	27.625	16.185	6.748	9.806	5.690	38.397	0.011	0.063	0.079	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
33	32.000	33.000	31.785	9.750	23.790	11.960	8.162	8.295	8.291	67.676	0.023	-0.097	-0.125	33.000	42.575	10.140	42.835	10.855	4.093	0.761	0.678	2.776	-0.041	-0.022	NaN	33.000	32.760	11.505	23.725	16.640	7.993	10.392	10.387	83.025	0.124	0.177	0.057	33.000	37.180	13.585	27.625	16.250	6.687	9.920	5.923	39.609	0.233	0.017	-0.098	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
34	33.000	34.000	31.590	9.750	23.855	11.960	8.287	8.045	8.043	66.654	-0.248	-0.062	0.187	34.000	42.640	10.140	42.900	10.920	4.189	0.822	0.714	2.991	0.036	0.082	0.021	34.000	32.760	11.505	23.530	16.900	7.937	10.691	10.688	84.838	0.301	0.300	NaN	34.000	37.180	13.650	27.625	16.250	6.725	9.902	5.762	38.752	-0.161	NaN	0.017	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
35	34.000	35.000	31.330	9.880	23.920	11.960	8.430	7.696	7.694	64.862	-0.349	-0.063	0.285	35.000	42.575	10.075	42.900	10.920	4.153	0.905	0.792	3.287	0.077	NaN	-0.084	35.000	32.825	11.440	23.335	17.160	7.703	11.081	11.080	85.353	0.392	0.301	-0.089	35.000	37.050	13.780	27.560	16.250	6.786	9.806	5.591	37.941	-0.171	0.063	0.159	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
36	35.000	36.000	31.265	9.815	23.985	11.960	8.473	7.589	7.589	64.309	-0.105	-0.062	0.044	36.000	42.510	10.075	42.835	10.790	4.103	0.785	0.712	2.919	-0.080	-0.145	-0.027	36.000	32.955	11.375	23.205	17.485	7.558	11.506	11.506	86.967	0.426	0.283	-0.145	36.000	37.115	13.780	27.495	16.250	6.764	9.932	5.562	37.619	-0.029	0.063	-0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
37	36.000	37.000	31.200	9.880	23.985	11.960	8.492	7.509	7.508	63.759	-0.081	NaN	0.080	37.000	42.510	10.140	42.835	10.790	4.195	0.727	0.670	2.810	-0.042	NaN	0.058	37.000	32.890	11.375	23.075	17.745	7.558	11.701	11.698	88.417	0.192	0.251	0.055	37.000	37.180	13.780	27.430	16.250	6.721	10.058	5.452	36.648	-0.109	0.063	-0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
38	37.000	38.000	31.330	9.880	23.985	11.960	8.449	7.634	7.631	64.474	0.123	NaN	-0.125	38.000	42.510	10.075	42.835	10.790	4.146	0.785	0.715	2.966	0.046	NaN	-0.059	38.000	33.280	11.180	22.880	17.940	7.214	12.404	12.402	89.469	0.705	0.270	-0.433	38.000	37.310	13.650	27.430	16.250	6.639	10.216	5.564	36.943	0.112	NaN	-0.159	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
39	38.000	39.000	31.395	9.880	23.985	11.895	8.449	7.679	7.673	64.833	0.043	-0.017	-0.063	39.000	42.510	10.075	42.835	10.725	4.097	0.727	0.675	2.767	-0.040	-0.058	NaN	39.000	33.085	11.180	22.620	18.330	7.435	12.674	12.653	94.082	0.251	0.435	0.161	39.000	37.180	13.715	27.365	16.250	6.764	10.137	5.688	38.477	0.124	0.063	0.142	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
40	39.000	40.000	31.590	9.880	23.985	11.960	8.306	7.884	7.879	65.445	0.206	0.017	-0.188	40.000	42.510	10.075	42.835	10.790	4.005	0.785	0.718	2.877	0.043	0.059	NaN	40.000	32.825	11.505	22.360	18.590	7.848	12.638	12.624	99.076	-0.029	0.361	0.398	40.000	37.180	13.780	27.235	16.315	6.786	10.263	5.809	39.419	0.120	0.142	0.016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
41	40.000	41.000	31.460	9.880	23.985	12.025	8.368	7.777	7.775	65.061	-0.104	0.018	0.125	41.000	42.510	10.140	42.835	10.790	4.097	0.727	0.675	2.767	-0.043	NaN	0.058	41.000	32.760	11.505	22.100	18.915	7.848	12.982	12.960	101.713	0.336	0.399	0.053	41.000	37.115	13.780	27.170	16.315	6.786	10.263	5.809	39.419	7.105E-15	0.063	0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
42	41.000	42.000	31.200	9.945	23.985	11.960	8.492	7.491	7.489	63.599	-0.286	-0.017	0.268	42.000	42.510	10.075	42.835	10.790	4.111	0.785	0.704	2.894	0.028	NaN	-0.059	42.000	32.695	11.505	21.840	19.110	7.759	13.254	13.226	102.617	0.266	0.325	0.053	42.000	37.115	13.845	27.170	16.315	6.742	10.247	5.593	37.712	-0.215	NaN	0.016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
43	42.000	43.000	31.330	9.945	23.985	11.960	8.430	7.616	7.613	64.178	0.124	NaN	-0.125	43.000	42.510	9.945	42.835	10.790	3.979	0.905	0.779	3.101	0.075	NaN	-0.121	43.000	32.955	11.375	21.710	19.305	7.525	13.760	13.727	103.289	0.501	0.219	-0.287	43.000	37.050	13.845	27.170	16.380	6.786	10.200	5.786	39.267	0.193	0.016	0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
44	43.000	44.000	31.655	9.880	23.985	11.895	8.206	7.930	7.926	65.040	0.313	-0.017	-0.331	44.000	42.575	10.075	42.900	10.790	3.970	0.785	0.707	2.805	-0.073	0.027	0.145	44.000	32.110	11.765	21.580	19.500	8.530	13.066	12.979	110.708	-0.748	0.220	0.912	44.000	36.985	13.910	27.105	16.315	6.856	10.169	5.888	40.366	0.101	0.048	0.079	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
45	44.000	45.000	31.655	9.880	23.855	11.830	8.206	8.040	8.032	65.910	0.106	0.110	NaN	45.000	42.445	10.010	42.835	10.790	3.828	0.872	0.801	3.067	0.095	-0.029	-0.116	45.000	32.760	11.440	21.645	19.500	7.804	13.730	13.655	106.571	0.677	-0.053	-0.717	45.000	36.985	13.910	27.170	16.315	6.856	10.105	5.864	40.201	-0.024	-0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
46	45.000	46.000	31.655	9.880	23.790	11.830	8.268	8.103	8.095	66.932	0.063	0.063	NaN	46.000	42.445	10.010	42.835	10.855	3.779	0.931	0.847	3.203	0.046	0.059	NaN	46.000	32.500	11.505	21.580	19.565	8.119	13.572	13.465	109.326	-0.190	0.091	0.248	46.000	37.050	13.910	27.365	16.250	6.856	9.964	5.755	39.457	-0.108	-0.205	-0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
47	46.000	47.000	31.915	9.815	23.855	11.830	8.063	8.308	8.301	66.928	0.206	-0.063	-0.268	47.000	42.510	10.075	42.835	10.790	3.822	0.785	0.717	2.742	-0.130	-0.059	0.086	47.000	32.955	11.310	21.645	19.630	7.683	14.041	13.937	107.087	0.472	-0.014	-0.482	47.000	37.115	13.845	27.430	16.250	6.796	9.979	5.844	39.715	0.089	-0.063	-0.079	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
48	47.000	48.000	31.850	9.880	23.855	11.895	8.143	8.245	8.237	67.076	-0.064	0.016	0.079	48.000	42.445	10.010	42.835	10.790	3.730	0.872	0.809	3.017	0.091	NaN	-0.087	48.000	32.825	11.310	21.710	19.500	7.797	13.806	13.689	106.736	-0.248	-0.129	0.105	48.000	36.985	13.910	27.495	16.250	6.905	9.774	5.821	40.197	-0.023	-0.063	0.142	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
49	48.000	49.000	31.850	9.880	23.790	12.025	8.143	8.341	8.336	67.887	0.100	0.096	NaN	49.000	42.575	10.140	42.835	10.790	3.914	0.700	0.626	2.451	-0.183	NaN	0.169	49.000	32.955	11.245	21.710	19.565	7.652	13.988	13.867	106.111	0.178	0.039	-0.143	49.000	36.920	13.845	27.430	16.250	6.871	9.790	5.978	41.071	0.156	0.063	0.047	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
50	49.000	50.000	32.435	9.880	23.725	12.155	7.895	9.002	8.993	70.997	0.656	0.096	-0.566	50.000	42.510	10.010	42.835	10.855	3.539	0.905	0.822	2.911	0.196	0.061	-0.145	50.000	33.280	11.115	21.710	19.435	7.590	14.251	14.125	107.205	0.258	-0.076	-0.340	50.000	36.855	13.845	27.300	16.315	7.035	9.869	6.452	45.385	0.474	0.142	0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
