 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)	T (8)	Base X (8)	Base Y (8)	Tip X (8)	Tip Y (8)	||[body,base]|| (8)	||[base,tip]||  (8)	||[base,tip]|| : [body,base] (8)	[base,tip] ? [body,base] (8)	?||[base,tip]|| : [body,base] (8)	||[tip(t-1),tip(t)]|| : [base,tip] (8)	||[base(t-1),base(t)]|| : [base,tip] (8)	T (9)	Base X (9)	Base Y (9)	Tip X (9)	Tip Y (9)	||[body,base]|| (9)	||[base,tip]||  (9)	||[base,tip]|| : [body,base] (9)	[base,tip] ? [body,base] (9)	?||[base,tip]|| : [body,base] (9)	||[tip(t-1),tip(t)]|| : [base,tip] (9)	||[base(t-1),base(t)]|| : [base,tip] (9)	T (10)	Base X (10)	Base Y (10)	Tip X (10)	Tip Y (10)	||[body,base]|| (10)	||[base,tip]||  (10)	||[base,tip]|| : [body,base] (10)	[base,tip] ? [body,base] (10)	?||[base,tip]|| : [body,base] (10)	||[tip(t-1),tip(t)]|| : [base,tip] (10)	||[base(t-1),base(t)]|| : [base,tip] (10)	T (11)	Base X (11)	Base Y (11)	Tip X (11)	Tip Y (11)	||[body,base]|| (11)	||[base,tip]||  (11)	||[base,tip]|| : [body,base] (11)	[base,tip] ? [body,base] (11)	?||[base,tip]|| : [body,base] (11)	||[tip(t-1),tip(t)]|| : [base,tip] (11)	||[base(t-1),base(t)]|| : [base,tip] (11)	T (12)	Base X (12)	Base Y (12)	Tip X (12)	Tip Y (12)	||[body,base]|| (12)	||[base,tip]||  (12)	||[base,tip]|| : [body,base] (12)	[base,tip] ? [body,base] (12)	?||[base,tip]|| : [body,base] (12)	||[tip(t-1),tip(t)]|| : [base,tip] (12)	||[base(t-1),base(t)]|| : [base,tip] (12)	T (13)	Base X (13)	Base Y (13)	Tip X (13)	Tip Y (13)	||[body,base]|| (13)	||[base,tip]||  (13)	||[base,tip]|| : [body,base] (13)	[base,tip] ? [body,base] (13)	?||[base,tip]|| : [body,base] (13)	||[tip(t-1),tip(t)]|| : [base,tip] (13)	||[base(t-1),base(t)]|| : [base,tip] (13)	T (14)	Base X (14)	Base Y (14)	Tip X (14)	Tip Y (14)	||[body,base]|| (14)	||[base,tip]||  (14)	||[base,tip]|| : [body,base] (14)	[base,tip] ? [body,base] (14)	?||[base,tip]|| : [body,base] (14)	||[tip(t-1),tip(t)]|| : [base,tip] (14)	||[base(t-1),base(t)]|| : [base,tip] (14)	T (15)	Base X (15)	Base Y (15)	Tip X (15)	Tip Y (15)	||[body,base]|| (15)	||[base,tip]||  (15)	||[base,tip]|| : [body,base] (15)	[base,tip] ? [body,base] (15)	?||[base,tip]|| : [body,base] (15)	||[tip(t-1),tip(t)]|| : [base,tip] (15)	||[base(t-1),base(t)]|| : [base,tip] (15)	T (16)	Base X (16)	Base Y (16)	Tip X (16)	Tip Y (16)	||[body,base]|| (16)	||[base,tip]||  (16)	||[base,tip]|| : [body,base] (16)	[base,tip] ? [body,base] (16)	?||[base,tip]|| : [body,base] (16)	||[tip(t-1),tip(t)]|| : [base,tip] (16)	||[base(t-1),base(t)]|| : [base,tip] (16)	T (17)	Base X (17)	Base Y (17)	Tip X (17)	Tip Y (17)	||[body,base]|| (17)	||[base,tip]||  (17)	||[base,tip]|| : [body,base] (17)	[base,tip] ? [body,base] (17)	?||[base,tip]|| : [body,base] (17)	||[tip(t-1),tip(t)]|| : [base,tip] (17)	||[base(t-1),base(t)]|| : [base,tip] (17)	T (18)	Base X (18)	Base Y (18)	Tip X (18)	Tip Y (18)	||[body,base]|| (18)	||[base,tip]||  (18)	||[base,tip]|| : [body,base] (18)	[base,tip] ? [body,base] (18)	?||[base,tip]|| : [body,base] (18)	||[tip(t-1),tip(t)]|| : [base,tip] (18)	||[base(t-1),base(t)]|| : [base,tip] (18)	T (19)	Base X (19)	Base Y (19)	Tip X (19)	Tip Y (19)	||[body,base]|| (19)	||[base,tip]||  (19)	||[base,tip]|| : [body,base] (19)	[base,tip] ? [body,base] (19)	?||[base,tip]|| : [body,base] (19)	||[tip(t-1),tip(t)]|| : [base,tip] (19)	||[base(t-1),base(t)]|| : [base,tip] (19)	T (20)	Base X (20)	Base Y (20)	Tip X (20)	Tip Y (20)	||[body,base]|| (20)	||[base,tip]||  (20)	||[base,tip]|| : [body,base] (20)	[base,tip] ? [body,base] (20)	?||[base,tip]|| : [body,base] (20)	||[tip(t-1),tip(t)]|| : [base,tip] (20)	||[base(t-1),base(t)]|| : [base,tip] (20)
21	20.000	21.000	23.790	15.210	21.515	12.090	2.996	3.861	2.473	7.411	0.198	-0.038	-0.091	21.000	13.065	14.690	7.995	13.780	13.734	5.151	5.111	70.186	-1.085	0.064	1.186	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	30.485	18.395	31.655	19.825	4.761	1.848	1.809	8.611	0.059	NaN	-0.091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	27.690	21.970	28.015	24.830	6.628	2.878	2.878	19.072	0.132	0.057	-0.057	21.000	28.730	21.320	29.705	23.595	6.228	2.475	2.466	15.358	0.327	-0.034	-0.350	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	25.805	21.580	24.310	24.310	6.251	3.113	2.930	18.315	-0.498	-0.088	0.379	21.000	26.780	21.710	23.920	26.845	6.305	5.878	5.135	32.376	-0.234	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	17.355	18.005	12.545	18.200	10.485	4.814	4.650	48.757	0.049	0.130	0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	19.045	19.240	15.730	21.450	8.692	3.984	3.958	34.404	-0.005	NaN	0.036	37.000	21.905	21.255	17.030	25.675	7.952	6.580	6.571	52.246	6.571	5.605	-0.796	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	21.905	22.750	17.225	27.560	8.192	6.711	6.675	54.680	-0.809	0.368	1.194	66.000	25.285	22.490	21.320	30.095	7.994	8.577	8.192	65.483	-0.068	-0.058	NaN	77.000	17.030	14.430	12.870	13.390	10.338	4.288	4.185	43.264	0.025	0.079	0.079	80.000	23.205	20.215	17.940	23.400	7.269	6.153	5.652	41.084	-0.149	0.145	0.468
22	21.000	22.000	23.660	15.015	21.450	12.090	3.577	3.666	2.315	8.281	-0.158	0.039	0.234	22.000	13.910	14.820	7.865	13.715	13.329	6.145	6.070	80.909	0.960	0.140	-0.855	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	30.420	18.525	31.590	19.760	4.644	1.701	1.701	7.901	-0.107	-0.092	0.050	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	27.560	21.840	28.015	25.025	6.703	3.217	3.203	21.471	0.326	0.193	-0.147	22.000	28.795	21.320	29.770	23.595	6.369	2.475	2.445	15.569	-0.021	0.026	0.026	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	25.740	21.840	24.245	24.375	6.860	2.943	2.800	19.207	-0.130	0.089	0.257	22.000	26.715	21.775	23.920	26.910	6.650	5.846	5.338	35.498	0.203	0.057	0.088	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	17.420	18.070	12.415	18.135	10.032	5.005	4.787	48.021	0.137	0.129	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	18.915	19.305	15.795	21.450	8.721	3.786	3.750	32.702	-0.208	-0.054	0.144	38.000	22.165	21.320	17.355	25.870	7.861	6.621	6.614	51.993	0.044	-0.102	-0.144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	21.645	22.945	17.030	27.690	8.081	6.619	6.596	53.307	-0.078	0.229	0.321	67.000	25.675	21.775	21.320	30.095	7.433	9.391	8.637	64.199	0.445	NaN	-0.814	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	22.750	20.410	17.940	23.465	7.579	5.698	5.309	40.239	-0.343	0.035	0.489
23	22.000	23.000	23.530	14.885	21.450	12.090	3.460	3.484	2.333	8.074	0.018	NaN	0.182	23.000	13.455	14.755	7.540	13.715	13.528	6.006	5.947	80.444	-0.124	0.320	0.459	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	30.420	18.590	31.590	19.825	4.826	1.701	1.700	8.205	-0.001	0.047	0.047	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	27.625	22.295	28.015	25.220	7.115	2.951	2.948	20.977	-0.255	0.193	0.460	23.000	28.730	21.255	29.835	23.335	6.295	2.355	2.306	14.513	-0.139	-0.199	-0.088	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	25.740	22.425	24.245	24.375	7.320	2.457	2.174	15.916	-0.626	NaN	0.464	23.000	26.130	22.620	23.920	26.910	7.458	4.826	4.513	33.656	-0.825	NaN	1.019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	15.925	18.135	12.415	18.070	11.682	3.511	3.382	39.508	-1.405	0.001	1.494	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	18.915	19.305	15.795	21.450	9.102	3.786	3.733	33.982	-0.017	NaN	NaN	39.000	22.035	21.710	17.355	25.870	8.194	6.262	6.220	50.970	-0.394	NaN	0.356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	21.450	23.205	16.965	27.820	9.238	6.435	6.412	59.235	-0.185	0.139	0.322	68.000	25.675	21.645	21.320	30.160	7.409	9.564	9.014	66.789	0.377	0.058	-0.116	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	22.230	20.735	17.810	23.465	8.329	5.195	4.990	41.566	-0.319	0.111	0.613
24	23.000	24.000	23.335	14.560	21.450	12.090	3.008	3.107	2.141	6.439	-0.192	NaN	0.377	24.000	12.090	14.430	7.215	13.650	14.242	4.937	4.897	69.751	-1.049	0.331	1.399	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	30.485	18.525	31.655	19.825	5.528	1.749	1.737	9.599	0.036	0.043	-0.005	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	27.690	22.620	28.080	25.285	7.855	2.693	2.692	21.146	-0.256	0.074	0.331	24.000	28.665	21.125	29.705	23.205	6.664	2.326	2.313	15.413	0.007	-0.174	-0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	25.675	22.620	24.310	24.375	7.762	2.223	1.863	14.462	-0.311	-0.040	0.194	24.000	26.130	22.815	23.920	26.845	7.932	4.596	4.083	32.389	-0.430	-0.057	0.171	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	15.730	18.265	12.415	18.395	11.745	3.318	3.243	38.088	-0.139	0.013	0.200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	18.850	19.500	15.795	21.385	9.742	3.590	3.564	34.725	-0.169	-0.034	0.158	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	21.320	23.400	16.835	27.885	9.113	6.343	6.270	57.139	-0.142	0.138	0.230	69.000	25.675	21.775	21.255	30.225	7.599	9.536	9.107	69.197	0.093	0.088	0.115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	21.905	20.930	17.615	23.530	8.273	5.016	4.719	39.039	-0.272	0.200	0.379
25	24.000	25.000	23.465	14.560	21.450	12.090	3.914	3.188	2.213	8.661	0.072	NaN	-0.082	25.000	14.235	14.885	7.150	13.650	13.130	7.192	7.085	93.026	2.188	0.064	-2.191	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	30.550	18.330	31.655	19.760	4.692	1.807	1.800	8.446	0.064	-0.051	-0.115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	27.625	22.425	28.080	25.220	7.544	2.832	2.809	21.193	0.117	-0.064	-0.203	25.000	29.120	22.425	29.510	23.075	7.742	0.758	0.721	5.585	-1.591	-0.212	1.349	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	25.480	22.815	24.310	24.375	8.151	1.950	1.788	14.576	-0.075	NaN	0.273	25.000	26.065	22.945	23.920	26.910	8.164	4.508	4.256	34.746	0.173	0.057	0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	16.900	18.265	12.220	18.265	11.009	4.680	4.504	49.585	1.261	0.195	-1.170	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	18.915	19.500	15.795	21.385	9.390	3.645	3.630	34.083	0.065	NaN	-0.056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	21.385	23.465	16.835	27.885	9.481	6.343	6.293	59.665	0.023	NaN	-0.001	70.000	25.610	21.775	21.255	30.355	7.587	9.622	9.199	69.797	0.093	0.116	0.029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	21.515	21.125	17.420	23.660	9.057	4.816	4.659	42.195	-0.060	0.234	0.434
26	25.000	26.000	23.270	14.560	21.450	12.090	3.733	3.068	2.108	7.867	-0.106	NaN	0.116	26.000	13.325	14.690	7.020	13.650	13.654	6.390	6.328	86.401	-0.757	0.128	0.930	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	30.550	18.265	31.590	19.825	4.831	1.875	1.819	8.788	0.019	0.018	-0.054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	27.625	22.295	28.145	25.220	7.309	2.971	2.960	21.632	0.151	0.011	-0.128	26.000	29.055	22.425	29.510	23.270	7.696	0.960	0.937	7.208	0.215	0.172	-0.031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	25.350	23.075	24.310	24.310	8.222	1.615	1.416	11.644	-0.372	-0.050	0.283	26.000	25.935	23.595	23.920	26.910	8.643	3.879	3.533	30.538	-0.723	NaN	0.623	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	17.225	18.395	12.155	18.265	10.051	5.072	4.779	48.038	0.275	0.065	-0.328	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	19.110	19.370	15.795	21.320	9.099	3.846	3.833	34.882	0.204	-0.033	-0.234	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	21.450	23.335	16.705	27.950	9.218	6.619	6.555	60.430	0.262	0.139	-0.137	71.000	25.675	21.710	21.190	30.355	7.474	9.739	9.156	68.432	-0.043	0.030	-0.088	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	21.190	21.320	17.160	23.790	9.561	4.727	4.585	43.839	-0.073	0.290	0.379
27	26.000	27.000	23.010	14.625	21.450	12.090	4.265	2.977	1.893	8.074	-0.215	NaN	0.081	27.000	13.910	14.820	7.020	13.650	13.331	6.989	6.921	92.266	0.593	NaN	-0.599	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	30.680	18.200	31.655	19.760	4.562	1.840	1.759	8.023	-0.060	-0.021	0.014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	27.820	22.815	28.340	25.350	7.627	2.588	2.567	19.583	-0.392	0.167	0.549	27.000	28.925	22.035	29.575	23.400	7.031	1.512	1.481	10.415	0.545	0.145	-0.408	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	25.155	23.270	24.180	24.245	8.324	1.379	1.188	9.887	-0.228	0.046	0.276	27.000	25.805	23.790	23.920	26.910	8.698	3.645	3.387	29.465	-0.146	NaN	0.234	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	17.875	18.330	12.090	18.655	9.311	5.794	5.594	52.090	0.815	0.087	-0.653	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	19.240	19.305	15.925	21.255	8.926	3.846	3.831	34.197	-0.002	-0.145	-0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	21.450	23.335	16.510	28.015	9.339	6.805	6.742	62.969	0.187	0.186	NaN	72.000	25.480	22.100	21.125	30.420	7.779	9.391	8.931	69.476	-0.225	0.088	0.436	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	21.125	21.320	17.030	23.920	9.244	4.851	4.694	43.395	0.109	0.179	0.055
28	27.000	28.000	22.685	15.015	21.450	12.090	4.432	3.175	1.446	6.409	-0.447	NaN	-0.233	28.000	13.585	14.755	7.085	13.715	13.533	6.583	6.539	88.488	-0.382	-0.074	0.331	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	30.680	18.005	31.655	19.825	4.459	2.065	1.869	8.336	0.111	0.057	-0.172	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	27.820	22.945	28.405	25.545	7.639	2.665	2.643	20.191	0.076	0.205	0.127	28.000	28.990	22.165	29.640	23.660	7.081	1.630	1.614	11.429	0.133	0.264	0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	25.090	23.465	24.245	24.375	8.371	1.242	1.087	9.096	-0.101	0.051	0.187	28.000	25.675	24.115	23.855	26.910	8.891	3.335	3.051	27.129	-0.336	0.035	0.343	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	17.810	18.330	11.895	18.655	9.787	5.924	5.752	56.294	0.158	0.195	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	19.370	19.305	15.925	21.190	8.930	3.927	3.917	34.975	0.085	-0.031	-0.114	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	21.580	23.335	16.445	28.080	9.612	6.992	6.834	65.690	0.092	0.092	-0.095	73.000	25.480	22.165	21.190	30.355	7.855	9.246	8.811	69.206	-0.120	-0.088	0.058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	21.190	21.255	16.900	23.985	9.609	5.085	4.989	47.937	0.294	0.145	-0.090
29	28.000	29.000	22.685	15.145	21.450	12.090	4.812	3.295	1.317	6.338	-0.129	NaN	-0.121	29.000	14.495	14.950	7.150	13.715	13.004	7.448	7.374	95.886	0.835	-0.064	-0.930	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	30.680	17.745	31.655	19.825	4.031	2.297	2.045	8.243	0.176	NaN	-0.235	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	27.755	22.945	28.405	25.610	7.674	2.743	2.685	20.610	0.042	0.063	-0.015	29.000	28.795	21.645	29.705	23.660	6.501	2.211	2.156	14.019	0.542	0.027	-0.554	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	24.830	23.725	24.310	24.310	8.860	0.783	0.714	6.329	-0.372	-0.092	0.367	29.000	25.545	24.180	23.920	26.845	9.116	3.121	2.951	26.901	-0.100	-0.089	0.123	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	17.810	18.330	11.830	18.655	10.304	5.989	5.826	60.033	0.074	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	19.305	19.305	16.120	21.125	9.081	3.668	3.647	33.124	-0.269	-0.202	0.056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	21.645	23.400	16.510	27.950	9.409	6.861	6.519	61.334	-0.316	-0.135	-0.006	74.000	25.545	21.775	21.125	30.420	7.611	9.709	9.322	70.942	0.511	0.087	-0.377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	21.320	21.060	16.770	23.985	9.193	5.409	5.297	48.693	0.308	0.109	-0.215
30	29.000	30.000	22.815	15.015	21.450	12.155	3.974	3.169	1.549	6.156	0.232	-0.059	0.061	30.000	13.000	14.560	6.955	13.715	13.799	6.104	6.081	83.904	-1.293	0.193	1.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	30.680	17.810	31.785	20.020	4.651	2.471	2.131	9.912	0.086	0.233	0.058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	27.755	22.880	28.470	25.610	7.667	2.822	2.799	21.459	0.113	0.016	-0.063	30.000	28.860	21.775	29.835	23.855	6.825	2.297	2.278	15.548	0.122	0.232	0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	24.830	23.725	24.310	24.310	8.672	0.783	0.687	5.957	-0.027	NaN	NaN	30.000	25.545	24.245	23.920	26.845	9.055	3.066	2.797	25.329	-0.154	NaN	0.055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	18.135	18.265	11.960	18.785	9.663	6.197	6.052	58.482	0.226	-0.119	-0.329	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	19.240	19.110	15.990	20.605	8.970	3.577	3.576	32.076	-0.072	-0.099	-0.022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	21.645	23.465	16.575	27.885	9.832	6.726	6.417	63.096	-0.101	-0.092	0.043	75.000	25.610	21.840	21.190	30.355	7.687	9.594	9.212	70.811	-0.109	-0.088	0.028	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	21.515	20.865	16.445	24.115	8.825	6.022	5.883	51.917	0.586	0.344	-0.269
