dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Base Local Background (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Tip Local Background (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Base Local Background (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Tip Local Background (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Base Local Background (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Tip Local Background (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Base Local Background (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Tip Local Background (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Base Local Background (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Tip Local Background (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Base Local Background (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Tip Local Background (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Base Local Background (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Tip Local Background (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)	T (13)	dT (13)	Base Mean (13)	Base Local Background (13)	Body Mean (13)	Proj Mean (13)	Tip Mean (13)	Tip Th Mean (13)	Tip Local Background (13)	Length (13)	dL (13)	DCTM (13)	DCBM (13)	T (14)	dT (14)	Base Mean (14)	Base Local Background (14)	Body Mean (14)	Proj Mean (14)	Tip Mean (14)	Tip Th Mean (14)	Tip Local Background (14)	Length (14)	dL (14)	DCTM (14)	DCBM (14)	T (15)	dT (15)	Base Mean (15)	Base Local Background (15)	Body Mean (15)	Proj Mean (15)	Tip Mean (15)	Tip Th Mean (15)	Tip Local Background (15)	Length (15)	dL (15)	DCTM (15)	DCBM (15)	T (16)	dT (16)	Base Mean (16)	Base Local Background (16)	Body Mean (16)	Proj Mean (16)	Tip Mean (16)	Tip Th Mean (16)	Tip Local Background (16)	Length (16)	dL (16)	DCTM (16)	DCBM (16)	T (17)	dT (17)	Base Mean (17)	Base Local Background (17)	Body Mean (17)	Proj Mean (17)	Tip Mean (17)	Tip Th Mean (17)	Tip Local Background (17)	Length (17)	dL (17)	DCTM (17)	DCBM (17)	T (18)	dT (18)	Base Mean (18)	Base Local Background (18)	Body Mean (18)	Proj Mean (18)	Tip Mean (18)	Tip Th Mean (18)	Tip Local Background (18)	Length (18)	dL (18)	DCTM (18)	DCBM (18)	T (19)	dT (19)	Base Mean (19)	Base Local Background (19)	Body Mean (19)	Proj Mean (19)	Tip Mean (19)	Tip Th Mean (19)	Tip Local Background (19)	Length (19)	dL (19)	DCTM (19)	DCBM (19)	T (20)	dT (20)	Base Mean (20)	Base Local Background (20)	Body Mean (20)	Proj Mean (20)	Tip Mean (20)	Tip Th Mean (20)	Tip Local Background (20)	Length (20)	dL (20)	DCTM (20)	DCBM (20)
55.000	56.000	55.000	179.077	145.202	352.292	136.089	122.581	126.273	110.061	3.314	0.046	0.056	-0.089	56.000	55.000	152.774	122.765	352.292	139.185	115.467	122.300	107.743	7.331	-0.379	-0.000	0.331	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	55.000	210.857	175.338	352.292	152.640	124.233	139.091	115.740	3.466	-0.065	0.028	0.089	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	55.000	175.185	156.964	352.292	142.750	126.267	156.000	115.772	3.181	-0.092	0.000	0.137	56.000	55.000	205.241	169.095	352.292	151.016	126.786	140.500	125.458	2.555	-0.501	-0.473	-0.082	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	55.000	160.586	154.730	352.292	140.119	121.038	129.300	121.104	4.420	0.203	-0.089	-0.234	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	55.000	171.903	142.273	353.556	134.295	117.393	128.083	107.535	8.885	0.325	0.128	-0.192	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	55.000	193.448	175.231	352.689	138.826	118.607	132.400	107.048	10.609	0.008	0.092	0.006	101.000	55.000	175.967	153.649	337.360	133.405	117.533	127.067	107.149	8.879	0.092	-0.000	-0.032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	115.000	55.000	179.148	158.871	339.786	130.315	113.000	125.875	107.632	9.122	-0.065	0.050	0.110
56.000	57.000	56.000	194.714	147.808	352.788	137.460	122.964	128.625	111.136	3.417	0.103	-0.031	-0.114	57.000	56.000	158.613	125.020	352.788	134.928	119.321	127.400	106.774	5.886	-1.446	0.064	1.452	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	56.000	208.241	171.494	352.788	150.650	122.607	130.263	115.704	3.401	-0.065	0.059	0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	56.000	183.552	156.728	352.788	143.885	122.867	132.062	115.208	3.265	0.084	-0.007	-0.136	57.000	56.000	192.931	158.273	352.788	149.970	129.133	137.188	118.759	2.352	-0.203	-0.062	0.144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	56.000	173.276	157.932	352.788	139.312	123.357	130.600	120.184	4.956	0.536	-0.000	-0.491	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	56.000	172.103	138.641	353.041	134.713	117.464	126.941	107.868	8.901	0.016	0.013	-0.013	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	56.000	202.364	173.697	353.634	137.621	120.500	126.038	107.725	10.441	-0.168	0.092	-0.000	102.000	56.000	176.654	153.862	338.753	132.101	119.100	126.400	108.600	8.944	0.065	-0.000	-0.113	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	116.000	56.000	177.345	154.393	339.832	130.975	115.207	119.583	105.951	9.065	-0.057	0.111	0.205
57.000	58.000	57.000	188.481	150.519	353.165	136.806	123.448	139.500	110.479	3.463	0.046	0.032	-0.000	58.000	57.000	153.452	122.530	353.165	135.672	113.500	121.947	107.411	6.647	0.761	-0.000	-0.726	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	57.000	223.967	188.662	353.165	153.686	128.030	137.227	116.656	3.550	0.149	-0.085	-0.180	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	57.000	162.516	146.474	353.165	140.439	120.929	127.000	115.635	2.718	-0.547	0.000	0.529	58.000	57.000	184.714	161.181	353.165	147.656	132.452	143.769	119.849	2.379	0.027	-0.021	-0.021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	57.000	178.467	159.710	353.165	140.054	122.966	133.917	116.336	5.308	0.352	-0.000	-0.344	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	57.000	176.241	140.307	354.623	135.493	120.429	125.409	106.814	9.310	0.409	0.103	-0.216	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	57.000	193.385	173.795	351.003	134.791	118.552	124.722	107.711	10.571	0.130	0.179	0.048	103.000	57.000	171.077	147.948	339.515	131.153	115.429	121.579	108.615	8.611	-0.333	-0.000	0.234	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	117.000	57.000	178.407	153.447	344.570	132.009	121.355	130.933	107.570	9.092	0.027	0.120	0.085
58.000	59.000	58.000	182.185	148.602	353.551	136.590	122.286	132.818	112.597	3.317	-0.146	-0.087	0.059	59.000	58.000	162.207	123.484	353.551	137.440	115.867	120.429	107.584	7.044	0.398	-0.064	-0.395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	58.000	241.571	182.676	353.551	155.921	130.964	133.960	116.746	3.523	-0.027	0.060	-0.026	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	58.000	160.548	148.562	353.551	139.367	121.500	132.385	114.836	2.837	0.119	-0.065	-0.136	59.000	58.000	194.276	161.986	353.551	151.985	129.645	139.611	118.331	2.563	0.184	0.023	-0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	58.000	169.172	155.791	353.551	137.370	125.556	143.571	113.549	5.289	-0.019	0.057	0.082	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	58.000	166.968	140.333	355.751	134.139	117.333	126.286	108.185	9.551	0.241	0.128	-0.128	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	58.000	192.621	175.766	353.259	134.726	114.069	124.455	109.108	10.525	-0.046	-0.043	-0.000	104.000	58.000	180.467	147.643	338.680	134.701	122.586	128.500	106.863	8.603	-0.008	-0.000	0.088	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	118.000	58.000	169.154	155.345	339.132	131.716	122.600	133.333	105.953	9.111	0.019	0.145	0.119
59.000	60.000	59.000	176.250	156.398	353.556	138.266	122.828	128.444	112.687	3.393	0.076	-0.000	0.078	60.000	59.000	157.471	123.188	353.556	134.765	114.214	119.810	107.062	6.421	-0.623	-0.064	0.588	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	59.000	228.214	188.056	353.556	155.223	126.857	134.579	117.729	3.458	-0.065	-0.060	0.025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	59.000	176.074	156.843	353.556	142.872	121.781	130.929	114.007	3.173	0.336	-0.004	-0.389	60.000	59.000	187.469	160.055	353.556	146.721	130.533	144.900	118.845	2.563	0.000	0.025	0.060	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	59.000	188.828	179.734	353.556	140.832	125.519	131.316	115.266	5.744	0.455	-0.058	-0.465	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	59.000	162.207	137.576	355.068	132.867	115.889	119.478	108.238	9.375	-0.176	-0.064	0.128	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	59.000	200.808	174.986	352.588	135.275	115.323	120.077	109.059	10.376	-0.149	-0.135	-0.049	105.000	59.000	176.633	146.244	336.960	134.361	121.667	137.111	108.573	8.408	-0.195	-0.000	0.225	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	119.000	59.000	166.720	151.506	346.678	129.824	120.250	127.438	108.849	8.935	-0.176	-0.000	0.119
60.000	61.000	60.000	191.897	153.818	353.041	142.033	122.786	130.684	111.167	3.466	0.073	-0.000	-0.077	61.000	60.000	154.655	123.327	353.041	131.767	114.963	118.389	106.280	6.551	0.130	0.074	-0.193	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	60.000	201.793	173.884	353.041	151.066	128.133	134.667	118.291	3.301	-0.157	-0.060	0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	60.000	173.742	158.894	353.041	143.199	121.000	131.667	116.680	3.192	0.019	-0.062	-0.124	61.000	60.000	190.567	162.853	353.041	147.093	123.031	133.450	119.527	2.655	0.092	-0.044	-0.144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	60.000	187.571	170.354	353.041	140.418	121.571	130.154	113.240	6.058	0.314	0.059	-0.236	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	60.000	165.355	138.312	356.294	133.125	119.893	129.250	107.486	9.394	0.019	-0.064	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	60.000	188.483	173.195	353.519	135.409	116.607	125.214	109.257	10.242	-0.135	-0.144	0.096	106.000	60.000	167.292	144.410	336.104	132.477	117.517	130.200	109.129	8.159	-0.249	-0.000	0.120	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	120.000	60.000	163.000	150.671	338.432	130.414	116.273	126.889	107.428	8.943	0.008	0.086	0.145
61.000	62.000	61.000	164.000	138.903	354.623	138.550	126.857	133.125	112.361	2.911	-0.555	-0.000	0.562	62.000	61.000	162.222	121.290	354.623	134.982	113.964	119.889	106.595	6.589	0.038	-0.074	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	61.000	226.379	180.625	354.623	156.250	127.500	135.333	116.172	3.347	0.046	-0.060	-0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	61.000	172.667	149.494	354.623	147.774	130.033	141.611	124.669	2.458	-0.734	-0.647	0.188	62.000	61.000	187.645	161.280	354.623	148.363	127.714	139.154	118.153	2.609	-0.046	0.024	0.060	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	61.000	185.793	164.851	354.623	139.787	121.571	126.250	113.450	6.115	0.057	-0.058	-0.174	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	61.000	171.179	141.618	358.765	134.467	119.107	127.222	107.911	9.570	0.176	-0.000	-0.244	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	61.000	201.115	169.881	352.467	135.818	118.464	126.789	108.384	9.974	-0.268	-0.092	0.135	107.000	61.000	171.000	151.364	340.001	133.837	120.250	128.500	106.432	8.584	0.425	0.057	-0.234	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	121.000	61.000	167.185	154.924	341.088	130.458	121.600	130.643	107.537	9.027	0.084	-0.000	-0.145
62.000	63.000	62.000	161.241	144.237	355.751	136.884	121.828	140.889	110.480	2.705	-0.206	0.036	0.069	63.000	62.000	157.097	122.485	355.751	131.881	110.571	114.500	105.669	6.341	-0.249	0.064	0.266	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	62.000	212.714	178.458	355.751	152.986	127.607	134.000	115.535	3.439	0.092	0.120	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	62.000	183.467	157.778	355.751	153.210	130.324	142.737	126.027	2.279	-0.179	-0.395	-0.147	63.000	62.000	184.962	162.662	355.751	149.008	129.700	140.222	119.428	2.517	-0.092	-0.061	-0.038	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	62.000	168.586	153.634	355.751	138.050	120.571	130.500	112.676	5.752	-0.363	-0.000	0.377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	62.000	152.500	135.297	356.226	130.708	116.542	124.727	110.291	8.996	-0.574	-0.064	0.395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	62.000	207.120	189.299	353.575	136.721	117.464	126.692	115.210	9.644	-0.330	-0.635	-0.282	108.000	62.000	168.308	152.976	338.620	131.756	115.000	119.350	109.469	8.603	0.019	-0.057	-0.114	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
63.000	64.000	63.000	168.138	136.484	355.068	134.047	120.346	146.000	110.583	2.629	-0.076	-0.000	0.018	64.000	63.000	160.000	123.455	355.068	132.122	118.767	127.688	105.987	6.360	0.019	-0.064	-0.074	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	63.000	211.286	181.612	355.068	152.889	126.750	149.500	122.347	3.152	-0.287	-0.265	-0.060	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	63.000	172.167	148.195	355.068	144.929	127.633	140.357	119.805	1.770	-0.509	0.050	0.353	64.000	63.000	186.455	163.821	355.068	145.164	129.107	139.529	118.401	2.720	0.203	0.060	-0.024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	63.000	177.161	154.943	355.068	139.194	122.379	128.043	113.054	5.882	0.130	-0.000	-0.176	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	63.000	156.348	130.123	356.691	131.094	119.926	131.000	109.069	8.831	-0.165	-0.128	-0.053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	63.000	193.344	169.079	354.095	138.704	122.000	133.059	111.973	9.165	-0.479	-0.416	0.092	109.000	63.000	171.815	166.211	338.701	131.868	114.852	127.364	106.340	8.925	0.322	0.057	-0.322	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
64.000	65.000	64.000	195.192	178.253	356.294	135.022	119.839	129.467	111.535	3.230	0.601	-0.036	-0.703	65.000	64.000	148.552	121.945	356.294	129.268	110.103	115.625	107.224	6.341	-0.019	0.010	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	64.000	212.786	181.671	356.294	153.138	126.071	134.714	116.083	3.301	0.149	0.060	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	64.000	176.519	172.688	356.294	145.678	126.964	133.421	121.248	2.114	0.344	0.007	-0.302	65.000	64.000	184.528	158.614	356.294	144.641	124.677	133.211	116.993	2.877	0.157	0.061	-0.061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	64.000	185.133	178.433	356.294	140.843	124.107	135.462	112.349	6.031	0.149	-0.000	-0.094	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	64.000	161.185	135.027	357.230	131.837	120.400	137.556	108.784	8.915	0.084	-0.064	-0.118	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	64.000	194.333	174.914	348.680	138.643	125.517	132.850	116.131	8.549	-0.617	-0.569	-0.051	110.000	64.000	171.923	158.062	334.951	132.736	116.241	122.167	106.642	9.036	0.111	-0.000	-0.088	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
