dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)
0.000	1.000	0.000	539.310	462.500	1173.811	326.955	211.231	271.000	136.007	13.136	0.000	NaN	NaN	31.000	0.000	403.880	274.212	1227.212	238.185	194.826	218.000	153.565	7.908	7.908	NaN	NaN	36.000	0.000	463.714	252.125	1211.437	318.857	321.727	373.250	246.255	0.494	0.494	NaN	NaN	47.000	0.000	492.250	288.035	1217.681	388.375	388.375	479.667	269.047	0.335	0.335	NaN	NaN	69.000	0.000	498.200	312.389	1403.563	284.400	292.367	323.450	270.918	3.984	3.984	NaN	NaN	108.000	0.000	395.444	308.062	1404.118	271.799	201.500	218.929	145.979	7.185	7.185	NaN	NaN
1.000	2.000	1.000	547.552	354.559	1158.517	326.298	206.423	230.474	158.238	13.201	0.065	0.000	-0.063	32.000	1.000	397.680	276.230	1217.570	237.149	191.100	202.786	152.128	7.843	-0.065	-0.129	-0.057	37.000	1.000	409.524	236.592	1203.351	284.000	284.000	288.000	226.172	0.305	-0.189	0.065	0.065	48.000	1.000	528.156	346.012	1223.174	457.214	358.513	468.545	207.256	1.867	1.532	0.908	-0.443	70.000	1.000	469.400	303.561	1407.656	284.090	282.429	321.579	267.143	3.900	-0.084	0.000	0.104	109.000	1.000	384.407	296.406	1402.401	264.240	205.950	210.211	147.483	7.231	0.046	0.061	0.000
2.000	3.000	2.000	535.645	346.316	1167.085	322.826	213.920	245.000	152.209	13.247	0.046	0.000	-0.063	33.000	2.000	419.280	272.765	1217.028	234.216	195.632	206.154	146.245	7.882	0.038	0.000	-0.057	38.000	2.000	437.286	250.409	1197.938	330.424	332.963	405.833	211.250	0.590	0.284	-0.016	-0.095	49.000	2.000	545.111	353.296	1222.860	491.874	370.917	478.238	227.462	1.810	-0.057	0.145	0.098	71.000	2.000	453.250	278.931	1410.279	296.672	300.862	345.267	256.422	3.708	-0.192	0.000	0.182	110.000	2.000	356.800	281.163	1399.508	262.743	220.600	227.714	142.283	7.304	0.073	0.105	0.105
3.000	4.000	3.000	559.310	348.936	1167.919	314.727	212.423	231.471	149.682	13.266	0.019	0.063	0.063	34.000	3.000	410.840	303.120	1208.416	234.232	192.375	217.778	147.067	7.947	0.065	-0.065	-0.123	39.000	3.000	455.929	273.554	1197.923	360.393	329.758	409.529	208.454	0.714	0.125	0.144	0.000	50.000	3.000	534.375	359.908	1212.232	512.890	370.189	490.200	211.785	2.253	0.444	0.206	-0.233	72.000	3.000	431.222	339.130	1415.971	286.437	293.429	311.344	266.182	3.727	0.019	0.000	-0.016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.000	5.000	4.000	548.621	340.129	1173.127	312.774	207.958	228.500	151.153	13.247	-0.019	0.063	0.063	35.000	4.000	406.154	294.057	1204.891	230.622	195.286	210.800	148.297	7.820	-0.127	-0.129	-0.123	40.000	4.000	507.385	334.464	1362.642	412.696	297.655	405.583	191.092	1.461	0.747	0.165	-0.661	51.000	4.000	545.000	376.512	1224.711	520.606	335.925	469.222	210.068	2.648	0.395	0.214	-0.111	73.000	4.000	438.125	299.130	1414.891	290.780	285.581	308.897	297.821	3.735	0.008	0.129	0.091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.000	6.000	5.000	592.897	365.978	1180.157	317.112	208.957	231.545	151.774	13.469	0.222	0.000	-0.205	36.000	5.000	440.640	291.889	1211.437	241.860	205.238	236.143	153.832	7.671	-0.149	-0.259	-0.065	41.000	5.000	475.143	272.486	1195.463	376.794	312.414	388.562	187.343	1.047	-0.414	0.083	0.522	52.000	5.000	539.355	375.074	1224.036	523.204	352.472	451.391	202.490	2.916	0.268	0.223	-0.102	74.000	5.000	377.944	341.724	1399.276	289.599	309.156	330.767	271.529	3.800	0.065	0.041	0.017	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.000	7.000	6.000	566.793	354.544	1187.451	309.532	198.000	211.909	158.213	13.339	-0.130	-0.063	0.063	37.000	6.000	412.423	290.356	1203.351	237.566	202.875	218.938	154.178	7.579	-0.092	-0.135	-0.060	42.000	6.000	498.231	266.500	1194.191	390.505	325.767	402.882	181.636	1.074	0.027	0.119	0.057	53.000	6.000	549.129	377.434	1224.036	486.704	289.267	353.250	231.667	3.008	0.092	0.076	-0.058	75.000	6.000	374.842	319.901	1383.379	298.749	310.241	338.467	279.349	3.781	-0.019	0.000	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.000	8.000	7.000	568.690	366.756	1190.219	298.182	196.435	206.789	154.132	13.312	-0.027	-0.079	-0.063	38.000	7.000	434.760	292.659	1197.938	238.523	208.320	229.917	150.356	7.525	-0.054	-0.065	-0.057	43.000	7.000	513.760	266.197	1200.618	365.345	283.314	347.864	170.788	1.231	0.157	0.174	0.116	54.000	7.000	575.710	392.268	1226.491	483.915	265.037	340.000	180.514	3.265	0.257	0.183	-0.102	76.000	7.000	368.136	302.354	1379.735	289.564	293.714	320.773	275.378	3.705	-0.076	-0.043	0.055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.000	9.000	8.000	630.741	388.061	1194.557	310.216	205.320	235.267	144.899	13.534	0.222	0.016	-0.205	39.000	8.000	434.269	307.092	1197.923	243.259	208.750	247.300	145.599	7.633	0.108	-0.065	-0.126	44.000	8.000	502.074	266.659	1203.791	367.727	268.562	333.471	161.944	1.407	0.176	0.204	0.000	55.000	8.000	591.485	403.560	1229.899	490.369	259.000	316.667	173.514	3.586	0.322	0.174	-0.101	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.000	10.000	9.000	618.414	391.119	1198.220	305.947	205.571	210.100	153.664	13.599	0.065	-0.016	-0.063	40.000	9.000	438.179	309.274	1362.642	245.828	213.875	244.385	152.789	7.625	-0.008	-0.133	-0.065	45.000	9.000	491.759	272.800	1204.786	349.267	246.933	291.071	161.674	1.591	0.184	0.145	-0.059	56.000	9.000	652.935	434.878	1238.025	523.499	249.593	300.250	178.521	3.762	0.176	0.052	-0.157	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10.000	11.000	10.000	518.677	351.312	1199.345	295.639	200.800	222.900	151.376	13.274	-0.325	0.000	0.331	41.000	10.000	425.379	321.144	1195.463	244.359	221.348	236.643	162.619	7.468	-0.157	-0.197	-0.128	46.000	10.000	506.750	265.236	1213.499	358.693	260.917	306.200	156.352	1.683	0.092	0.117	0.031	57.000	10.000	656.781	381.772	1232.893	392.697	233.600	255.211	188.678	2.556	-1.206	0.059	1.281	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
11.000	12.000	11.000	586.276	374.337	1195.888	303.246	206.609	223.812	147.714	13.664	0.390	0.000	-0.394	42.000	11.000	435.552	323.989	1194.191	247.217	217.769	233.650	157.613	7.460	-0.008	-0.131	-0.130	47.000	11.000	545.719	282.048	1217.681	389.964	280.636	342.647	173.030	1.989	0.306	0.088	-0.088	58.000	11.000	646.233	367.219	1235.043	375.873	232.552	269.706	177.523	2.724	0.168	0.047	-0.121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12.000	13.000	12.000	515.172	332.903	1195.453	294.749	205.000	218.105	149.510	13.339	-0.325	0.000	0.268	43.000	12.000	431.310	311.584	1200.618	254.856	214.750	251.167	154.020	7.376	-0.084	-0.065	0.000	48.000	12.000	537.552	282.163	1223.174	399.229	264.657	303.200	168.386	2.016	0.027	0.119	0.026	59.000	12.000	628.758	361.155	1237.182	366.851	224.667	257.500	169.524	2.935	0.211	-0.034	-0.212	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
13.000	14.000	13.000	576.355	352.819	1199.989	296.535	194.652	214.846	151.178	13.710	0.371	0.000	-0.331	44.000	13.000	434.036	300.238	1203.791	251.526	207.000	233.385	154.227	7.238	-0.138	-0.065	0.128	49.000	13.000	505.034	271.119	1222.860	395.671	276.583	319.952	193.657	1.989	-0.027	0.000	0.059	60.000	13.000	640.935	373.860	1240.154	368.773	214.792	252.818	164.579	3.054	0.119	-0.017	-0.181	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
14.000	15.000	14.000	568.613	352.464	1198.887	294.854	203.250	227.000	150.062	13.580	-0.130	-0.063	0.063	45.000	14.000	426.750	287.055	1204.786	248.174	216.423	234.353	155.007	6.913	-0.325	-0.131	0.131	50.000	14.000	522.207	278.576	1212.232	387.383	236.406	271.438	168.029	2.238	0.249	0.291	0.000	61.000	14.000	640.576	478.670	1242.586	364.657	210.500	238.000	167.979	3.173	0.119	-0.091	-0.210	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
15.000	16.000	15.000	657.586	382.819	1200.368	300.850	186.524	202.846	150.937	13.821	0.241	0.063	-0.205	46.000	15.000	446.962	286.306	1213.499	252.754	214.538	250.250	156.887	6.699	-0.214	-0.128	0.128	51.000	15.000	547.483	294.577	1224.711	393.964	223.121	263.600	166.550	2.552	0.314	0.204	-0.086	62.000	15.000	678.969	435.187	1244.008	387.356	232.630	260.368	160.541	3.181	0.008	-0.040	-0.131	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
16.000	17.000	16.000	620.290	374.430	1204.136	299.265	197.500	206.833	148.472	13.645	-0.176	-0.063	0.142	47.000	16.000	441.143	288.012	1217.681	259.730	220.423	248.267	161.297	6.596	-0.103	-0.128	0.067	52.000	16.000	543.161	290.896	1224.036	387.982	232.781	277.235	152.241	2.831	0.279	0.216	-0.025	63.000	16.000	632.267	405.126	1245.360	371.570	224.583	245.611	162.253	3.253	0.073	0.091	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
17.000	18.000	17.000	609.484	388.544	1203.259	291.895	192.565	207.933	148.904	13.645	0.000	0.000	0.000	48.000	17.000	426.167	297.511	1223.174	263.354	223.208	256.667	158.618	6.428	-0.168	-0.130	0.065	53.000	17.000	496.828	277.891	1224.036	360.253	275.939	323.000	152.714	2.425	-0.406	0.121	0.555	64.000	17.000	668.188	399.593	1241.984	367.443	228.440	282.727	162.365	3.253	0.000	0.000	0.009	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
18.000	19.000	18.000	537.226	339.211	1204.568	282.407	178.913	192.800	143.007	13.255	-0.390	0.063	0.457	49.000	18.000	443.885	300.107	1222.860	268.940	214.231	246.909	159.124	6.125	-0.303	-0.130	0.065	54.000	18.000	503.483	292.779	1226.491	391.740	293.625	368.933	155.113	2.850	0.425	0.225	-0.227	65.000	18.000	658.069	368.559	1247.825	343.972	218.240	240.471	158.351	3.077	-0.176	0.092	0.233	87.000	18.000	383.364	320.125	1410.437	311.994	329.367	347.300	303.237	3.433	3.433	0.000	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
19.000	20.000	19.000	525.241	354.904	1206.333	281.833	202.120	236.444	145.307	13.098	-0.157	-0.126	0.000	50.000	19.000	428.519	302.156	1212.232	265.712	217.423	255.000	152.931	6.114	-0.011	-0.065	0.000	55.000	19.000	488.655	325.038	1229.899	421.252	288.333	350.412	159.397	3.278	0.428	0.202	-0.222	66.000	19.000	637.281	383.796	1251.419	347.990	222.833	239.211	154.094	3.280	0.203	0.142	-0.051	88.000	19.000	397.524	320.244	1411.597	317.779	304.875	366.333	276.073	3.249	-0.184	-0.127	0.054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20.000	21.000	20.000	713.069	421.750	1211.698	291.481	189.391	209.400	144.857	13.626	0.528	0.063	-0.473	51.000	20.000	451.214	298.636	1224.711	267.647	214.154	242.000	164.138	5.900	-0.214	-0.195	-0.003	56.000	20.000	468.552	294.878	1238.025	400.402	269.719	350.357	146.680	3.312	0.035	0.104	0.102	67.000	20.000	689.594	455.767	1259.509	336.157	210.923	229.238	156.980	3.594	0.314	0.040	-0.245	89.000	20.000	382.286	296.671	1409.752	323.212	306.697	357.143	255.554	3.035	-0.214	0.000	0.144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
21.000	22.000	21.000	736.185	405.369	1213.150	288.429	189.609	201.733	146.945	13.431	-0.195	0.000	0.189	52.000	21.000	437.148	292.952	1224.036	262.544	206.808	233.500	157.959	5.705	-0.195	-0.130	0.065	57.000	21.000	454.276	276.233	1232.893	388.559	276.714	330.571	141.424	3.431	0.119	0.229	0.121	68.000	21.000	616.423	407.267	1256.674	328.739	212.227	223.762	159.762	3.475	-0.119	0.000	0.076	90.000	21.000	390.955	328.012	1411.041	325.296	308.914	375.105	246.572	2.843	-0.192	-0.214	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
22.000	23.000	22.000	685.333	407.034	1218.602	284.756	195.864	210.583	145.490	13.347	-0.084	0.000	0.063	53.000	22.000	445.708	311.275	1224.036	279.604	228.000	250.375	162.556	5.418	-0.287	-0.195	-0.004	58.000	22.000	446.387	294.102	1235.043	346.033	248.464	273.368	161.490	3.737	0.306	0.166	-0.124	69.000	22.000	629.966	420.724	1403.563	333.112	210.478	253.000	157.839	3.716	0.241	0.037	-0.160	91.000	22.000	383.708	272.106	1409.297	330.650	317.486	378.857	235.088	2.648	-0.195	0.000	0.160	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
23.000	24.000	23.000	699.962	387.305	1220.764	285.622	205.391	215.056	148.174	13.282	-0.065	0.000	0.063	54.000	23.000	453.556	313.060	1226.491	280.742	227.690	259.105	159.133	5.437	0.019	-0.125	-0.065	59.000	23.000	437.793	277.066	1237.182	326.660	234.852	253.000	148.152	3.948	0.211	0.252	-0.023	70.000	23.000	645.938	439.011	1407.656	340.513	203.500	241.571	160.106	3.911	0.195	-0.055	-0.185	92.000	23.000	379.650	308.682	1410.027	317.158	282.032	349.000	232.252	2.518	-0.130	0.054	0.090	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
24.000	25.000	24.000	616.593	373.529	1219.921	280.190	195.783	215.800	149.007	13.133	-0.149	0.000	0.172	55.000	24.000	420.448	302.322	1229.899	275.942	224.269	260.286	158.372	5.380	-0.057	-0.068	-0.062	60.000	24.000	472.964	285.014	1240.154	320.802	229.625	259.929	151.683	4.170	0.222	0.183	-0.084	71.000	24.000	651.069	431.736	1410.279	346.975	203.304	236.100	154.797	3.976	0.065	0.000	-0.055	93.000	24.000	386.043	345.814	1412.025	316.335	287.375	336.000	221.490	2.583	0.065	-0.034	-0.055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
25.000	26.000	25.000	609.000	388.129	1227.599	278.465	200.455	221.929	143.718	13.160	0.027	0.063	0.063	56.000	25.000	442.115	326.929	1238.025	274.579	227.615	250.333	164.690	5.361	-0.019	-0.195	-0.195	61.000	25.000	480.607	278.384	1242.586	330.840	255.964	275.476	157.215	4.173	0.003	0.085	0.144	72.000	25.000	659.138	455.545	1415.971	322.891	201.696	218.429	154.171	4.209	0.233	0.000	-0.226	94.000	25.000	388.389	328.107	1416.097	313.582	276.867	331.400	218.794	2.483	-0.100	-0.017	0.054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
26.000	27.000	26.000	626.800	391.807	1226.824	279.963	195.619	216.462	148.580	13.179	0.019	0.000	0.017	57.000	26.000	454.483	313.506	1232.893	272.055	232.214	270.500	154.912	5.445	0.084	-0.062	-0.127	62.000	26.000	552.926	289.652	1244.008	362.371	267.286	308.944	151.310	4.368	0.195	0.187	0.000	73.000	26.000	655.241	535.412	1414.891	328.879	195.900	206.154	159.147	4.377	0.168	-0.145	-0.262	95.000	26.000	388.500	295.923	1413.408	308.718	271.548	316.778	215.517	2.575	0.092	-0.035	-0.055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
27.000	28.000	27.000	636.423	412.383	1231.107	278.118	212.591	226.938	152.082	12.995	-0.184	-0.142	-0.063	58.000	27.000	414.031	315.656	1235.043	271.425	239.933	279.688	152.208	5.529	0.084	-0.065	-0.130	63.000	27.000	527.000	302.558	1245.360	354.529	243.360	269.833	158.915	4.514	0.146	0.081	-0.062	74.000	27.000	631.862	437.908	1399.276	322.628	197.182	240.600	151.791	4.488	0.111	0.000	-0.145	96.000	27.000	415.783	292.627	1411.653	305.862	263.433	305.125	213.986	2.602	0.027	0.037	-0.037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
28.000	29.000	28.000	657.074	438.893	1232.890	286.106	200.435	228.700	142.435	13.171	0.176	0.142	-0.047	59.000	28.000	397.276	287.457	1237.182	264.364	226.107	265.133	157.014	5.545	0.016	0.000	0.002	64.000	28.000	537.233	300.181	1241.984	334.350	212.815	231.409	147.707	4.736	0.222	0.164	0.000	75.000	28.000	609.000	401.048	1383.379	304.559	193.909	217.909	148.014	4.553	0.065	0.145	0.087	97.000	28.000	386.727	292.609	1405.865	295.376	258.000	303.462	207.255	2.510	-0.092	0.000	0.090	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
29.000	30.000	29.000	604.138	432.089	1233.651	282.420	197.391	217.500	148.359	13.079	-0.092	-0.063	0.079	60.000	29.000	431.241	303.817	1240.154	267.159	221.038	252.438	154.778	5.667	0.122	-0.066	-0.194	65.000	29.000	549.458	296.377	1247.825	352.030	237.821	270.267	142.877	4.842	0.106	0.250	-0.016	76.000	29.000	578.391	383.094	1379.735	301.678	200.682	219.900	149.986	4.481	-0.073	0.059	0.087	98.000	29.000	405.962	296.067	1404.750	294.962	256.034	287.053	208.257	2.621	0.111	0.000	-0.054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
30.000	31.000	30.000	524.786	357.571	1227.212	272.378	206.545	214.619	150.336	12.792	-0.287	0.000	0.205	61.000	30.000	394.828	292.341	1242.586	270.686	225.038	258.769	156.523	5.556	-0.111	-0.065	3.980E-18	66.000	30.000	548.000	291.266	1251.419	338.730	208.267	234.000	135.608	5.132	0.290	0.294	0.013	77.000	30.000	533.923	400.852	1232.377	293.560	195.571	215.300	150.088	4.729	0.249	0.145	-0.059	99.000	30.000	410.080	332.568	1416.766	295.318	252.966	284.500	204.154	2.686	0.065	0.000	-0.055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
31.000	32.000	31.000	439.567	301.081	1217.570	266.319	211.478	234.000	149.752	12.505	-0.287	0.000	0.268	62.000	31.000	422.593	302.819	1244.008	268.174	204.840	227.214	151.355	5.778	0.222	0.065	-0.065	67.000	31.000	583.286	361.000	1259.509	345.463	241.375	277.842	138.436	5.370	0.238	0.047	-0.142	78.000	31.000	572.069	387.558	1232.555	294.571	192.722	204.500	153.493	4.886	0.157	0.000	-0.087	100.000	31.000	411.421	299.177	1415.215	291.407	252.300	299.818	202.753	2.575	-0.111	0.000	0.054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
32.000	33.000	32.000	413.133	294.065	1217.028	262.306	201.783	234.556	149.236	12.283	-0.222	0.000	0.205	63.000	32.000	422.276	318.345	1245.360	274.465	215.360	235.118	151.507	5.832	0.054	-0.065	-0.130	68.000	32.000	547.821	327.000	1256.674	336.175	237.290	282.833	148.740	5.397	0.027	-0.030	-0.047	79.000	32.000	548.000	379.534	1236.612	291.472	199.947	212.636	146.287	5.108	0.222	0.204	0.000	101.000	32.000	465.167	346.360	1404.475	288.410	251.414	274.789	199.733	2.686	0.111	0.000	-0.090	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
33.000	34.000	33.000	431.448	276.596	1208.416	264.425	208.000	227.062	149.367	12.034	-0.249	-0.063	0.205	64.000	33.000	407.720	311.634	1241.984	271.735	207.857	220.500	154.437	5.954	0.122	0.130	-7.558E-4	69.000	33.000	670.237	359.178	1403.563	337.358	252.441	314.667	156.388	5.933	0.536	-0.031	-0.347	80.000	33.000	569.281	388.101	1232.353	298.115	206.895	219.533	146.757	5.395	0.287	0.145	-0.118	102.000	33.000	432.955	295.845	1404.818	289.228	243.677	266.417	197.252	2.518	-0.168	-0.035	0.090	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
34.000	35.000	34.000	416.367	296.250	1204.891	263.153	199.545	211.789	151.385	11.904	-0.130	0.000	0.142	65.000	34.000	443.897	312.728	1247.825	272.747	227.808	237.273	150.000	6.149	0.195	0.001	-0.195	70.000	34.000	668.263	362.094	1407.656	331.384	232.467	280.357	167.450	5.906	-0.027	-0.063	-0.063	81.000	34.000	575.138	408.747	1230.635	296.105	205.167	219.154	159.475	5.368	-0.027	-0.059	-0.086	103.000	34.000	448.750	328.425	1397.051	277.912	235.034	265.053	194.593	2.537	0.019	0.036	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
35.000	36.000	35.000	441.571	311.848	1211.437	255.745	203.217	226.077	146.147	12.080	0.176	0.063	-0.126	66.000	35.000	437.103	311.482	1251.419	277.437	231.074	250.200	151.627	6.276	0.127	0.065	0.000	71.000	35.000	666.455	363.965	1410.279	320.821	240.206	275.333	142.612	6.128	0.222	0.220	0.016	82.000	35.000	583.462	406.378	1374.732	296.165	185.526	199.250	151.228	5.452	0.084	-0.026	-0.094	104.000	35.000	507.909	330.907	1400.023	280.332	243.500	269.000	191.331	2.529	-0.008	-0.035	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
36.000	37.000	36.000	452.414	271.806	1203.351	257.152	197.333	208.579	145.446	11.988	-0.092	0.063	0.110	67.000	36.000	443.655	361.271	1259.509	278.316	213.043	237.154	160.728	6.336	0.060	-0.065	-0.262	72.000	36.000	683.824	370.808	1415.971	336.279	238.697	268.947	145.870	6.388	0.260	0.132	-0.076	83.000	36.000	561.731	396.082	1235.532	295.037	202.056	209.294	157.055	5.268	-0.184	-0.205	-0.035	105.000	36.000	464.278	336.635	1393.707	280.907	239.310	260.050	190.878	2.510	-0.019	0.036	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
37.000	38.000	37.000	442.379	280.406	1197.938	252.536	192.957	219.545	148.007	11.923	-0.065	0.000	0.063	68.000	37.000	420.241	343.011	1256.674	272.062	204.952	230.556	152.259	6.547	0.211	0.000	-0.133	73.000	37.000	695.900	433.649	1414.891	332.920	237.909	261.857	180.887	6.372	-0.016	-0.113	-0.148	84.000	37.000	575.906	414.640	1241.804	299.213	197.850	212.400	158.776	5.360	0.092	-0.145	-0.171	106.000	37.000	488.588	360.917	1392.452	289.423	231.828	264.412	186.304	2.575	0.065	0.000	-0.055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
38.000	39.000	38.000	430.074	302.311	1197.923	255.093	204.609	221.438	147.583	11.839	-0.084	-0.063	0.015	69.000	38.000	465.607	360.040	1403.563	275.321	199.478	213.467	148.590	6.834	0.287	0.000	-0.195	74.000	38.000	614.692	385.157	1399.276	292.053	200.231	208.476	172.450	6.288	-0.084	0.022	0.000	85.000	38.000	592.000	426.517	1245.544	302.268	205.250	214.947	159.524	5.425	0.065	-0.060	-0.120	107.000	38.000	467.412	345.959	1398.697	288.305	235.000	269.000	190.380	2.602	0.027	0.000	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
39.000	40.000	39.000	418.966	287.652	1362.642	259.283	195.217	216.538	148.259	11.950	0.111	0.063	0.000	70.000	39.000	453.750	371.562	1407.656	277.489	197.600	219.000	152.819	6.983	0.149	0.000	-0.195	75.000	39.000	618.065	341.733	1383.379	293.134	183.944	195.400	147.803	6.380	0.092	0.088	0.056	86.000	39.000	582.828	412.410	1249.341	302.264	196.217	213.769	152.302	5.509	0.084	0.060	-0.060	108.000	39.000	469.591	346.306	1404.118	283.577	226.321	246.176	187.868	2.667	0.065	0.000	-0.036	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
