dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Base Local Background (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Tip Local Background (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Base Local Background (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Tip Local Background (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Base Local Background (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Tip Local Background (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Base Local Background (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Tip Local Background (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Base Local Background (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Tip Local Background (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Base Local Background (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Tip Local Background (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Base Local Background (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Tip Local Background (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)	T (13)	dT (13)	Base Mean (13)	Base Local Background (13)	Body Mean (13)	Proj Mean (13)	Tip Mean (13)	Tip Th Mean (13)	Tip Local Background (13)	Length (13)	dL (13)	DCTM (13)	DCBM (13)
26.000	27.000	26.000	234.667	174.049	506.931	161.329	129.821	139.733	128.000	2.325	-0.222	-0.144	0.000	27.000	26.000	279.714	199.921	506.931	144.441	123.000	130.364	116.925	5.718	-0.038	0.035	0.055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	26.000	157.061	130.798	506.931	135.473	122.160	125.800	113.634	9.137	-0.647	-0.090	0.577	39.000	26.000	295.172	255.883	495.850	204.838	162.607	175.750	156.181	1.737	-0.008	-0.038	-0.053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	26.000	263.212	192.273	517.198	171.586	142.967	153.545	123.470	3.624	0.203	0.053	-0.129	90.000	26.000	210.778	164.800	535.152	161.709	136.867	152.846	122.825	1.754	0.317	0.065	-0.198	95.000	26.000	160.100	138.884	528.845	140.304	136.846	144.333	129.740	0.642	-0.130	0.000	0.136	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	108.000	26.000	174.440	150.250	536.126	144.663	128.526	132.882	119.291	2.523	0.176	0.195	-0.065	117.000	26.000	228.621	194.088	532.141	157.957	139.000	148.071	123.174	3.937	0.000	0.059	0.086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
27.000	28.000	27.000	218.000	169.790	504.775	158.143	134.107	147.091	127.584	2.295	-0.030	0.061	0.144	28.000	27.000	261.885	204.212	504.775	143.282	125.231	134.231	116.237	5.626	-0.092	-0.035	0.073	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	27.000	145.517	127.037	504.775	132.715	123.708	129.000	113.333	8.483	-0.655	-0.090	0.379	40.000	27.000	287.871	254.932	492.076	200.071	159.571	172.429	152.582	1.802	0.065	-0.000	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	27.000	275.742	197.871	522.982	171.689	143.929	161.867	124.161	3.716	0.092	0.091	-0.080	91.000	27.000	207.303	162.108	529.623	168.511	135.536	148.455	123.811	2.133	0.379	0.065	-0.264	96.000	27.000	166.632	141.538	530.745	146.212	140.190	149.917	131.424	0.485	-0.157	-0.062	0.045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	109.000	27.000	174.618	149.396	534.940	145.932	127.571	141.444	120.549	2.737	0.214	0.195	0.065	118.000	27.000	237.828	186.081	535.223	160.538	136.630	143.158	123.257	4.075	0.138	0.172	0.027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
28.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	28.000	254.739	199.840	502.753	140.758	124.308	130.429	118.258	5.469	-0.157	-0.055	0.069	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	28.000	151.788	129.523	502.753	132.590	121.185	125.429	113.437	8.678	0.195	-0.054	-0.090	41.000	28.000	315.222	256.615	495.403	204.741	160.000	172.786	152.779	1.856	0.054	-0.000	-0.037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	28.000	243.367	192.158	521.889	162.732	140.828	152.615	124.126	3.651	-0.065	0.052	0.143	92.000	28.000	204.467	167.000	530.055	170.846	137.519	148.727	125.295	2.087	-0.046	0.010	0.055	97.000	28.000	166.043	141.237	523.650	145.212	143.727	148.647	131.864	0.492	0.008	0.062	0.062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	110.000	28.000	182.731	150.835	533.059	140.906	127.040	134.571	118.689	2.886	0.149	0.133	-0.068	119.000	28.000	253.625	194.610	539.680	162.043	134.577	144.000	123.068	4.397	0.322	0.145	-0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
29.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	29.000	267.500	201.352	500.145	142.041	128.087	134.188	117.255	5.534	0.065	0.000	-0.090	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	29.000	152.839	131.485	500.145	133.239	119.731	129.615	113.733	8.613	-0.065	-0.180	-0.198	42.000	29.000	286.036	256.500	495.011	205.966	166.700	183.611	160.367	1.523	-0.333	-0.231	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	29.000	240.345	179.312	519.340	158.635	141.192	168.000	124.193	3.540	-0.111	-0.050	0.050	93.000	29.000	219.793	176.714	525.787	172.731	142.778	151.667	125.338	2.198	0.111	-0.007	-0.129	98.000	29.000	162.909	145.636	527.390	145.000	140.619	152.125	132.000	0.649	0.157	0.064	0.008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	120.000	29.000	245.839	191.775	535.471	162.915	137.308	150.200	124.088	4.332	-0.065	0.031	0.114	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
30.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	30.000	229.630	249.600	500.133	138.137	125.250	126.565	117.221	5.676	0.141	0.000	-0.074	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	30.000	150.667	129.210	500.133	134.179	122.222	133.583	113.132	8.318	-0.295	-0.180	0.108	43.000	30.000	293.552	247.841	496.532	209.514	168.429	187.400	161.238	1.488	-0.035	-0.040	0.040	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	30.000	249.833	186.081	524.739	161.972	142.036	156.643	127.376	3.532	-0.008	-0.131	-0.143	94.000	30.000	215.867	177.386	527.079	170.328	135.259	142.150	128.536	2.290	0.092	-0.064	-0.150	99.000	30.000	165.950	149.551	527.774	146.405	140.000	151.571	131.092	0.714	0.065	0.076	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	112.000	30.000	156.346	139.080	524.197	136.438	129.000	134.111	118.034	2.569	2.569	0.198	0.396	121.000	30.000	246.931	199.910	534.996	160.492	132.444	144.833	122.945	4.553	0.222	0.174	-0.058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
31.000	32.000	31.000	194.909	163.073	496.809	146.761	137.714	145.684	127.428	1.851	1.851	0.021	0.206	32.000	31.000	227.862	196.390	496.809	138.729	122.609	133.000	116.439	5.767	0.092	0.089	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	31.000	147.828	129.272	496.809	132.809	121.792	130.529	114.273	7.893	-0.425	-0.090	0.180	44.000	31.000	286.333	258.302	496.464	211.779	179.419	199.400	168.228	1.377	-0.111	-0.183	-0.042	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	31.000	267.778	234.488	526.419	164.096	137.385	142.182	130.120	3.422	-0.111	-0.274	-0.223	95.000	31.000	210.179	167.695	528.845	165.247	137.258	145.476	124.865	2.252	-0.038	0.075	0.075	100.000	31.000	168.000	153.400	533.257	148.750	142.583	147.476	135.253	0.779	0.065	-0.064	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	113.000	31.000	148.783	136.810	523.086	132.945	124.393	128.810	115.608	2.374	-0.195	0.200	0.453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
32.000	33.000	32.000	224.636	168.927	501.595	162.450	133.357	142.000	126.521	2.479	0.628	-0.021	-0.432	33.000	32.000	237.857	191.753	501.595	138.261	120.174	136.250	116.618	5.787	0.019	0.000	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	32.000	143.440	128.237	501.595	130.653	118.731	126.316	114.000	7.571	-0.322	-0.144	0.180	45.000	32.000	307.194	258.258	491.525	219.091	182.406	206.286	173.082	1.293	-0.084	-0.092	-0.092	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	32.000	200.357	172.862	530.745	164.277	140.222	148.533	125.757	2.290	0.038	-0.010	-0.075	101.000	32.000	175.286	155.938	539.336	152.179	144.480	152.700	132.939	0.882	0.103	0.063	-0.079	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	114.000	32.000	141.429	132.417	530.820	131.014	124.542	129.176	116.840	1.911	-0.463	0.129	0.517	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
33.000	34.000	33.000	208.531	166.029	493.100	151.687	131.958	137.944	128.279	1.870	-0.609	0.000	0.301	34.000	33.000	233.481	187.114	493.100	138.028	120.182	131.300	114.527	5.649	-0.138	0.000	0.089	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	33.000	145.303	126.824	493.100	131.825	120.148	125.467	114.127	7.728	0.157	-0.144	-0.164	46.000	33.000	325.219	265.731	494.529	223.664	193.387	216.857	179.378	1.285	-0.008	-0.091	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	33.000	202.500	169.455	523.650	163.309	137.179	150.733	127.782	2.298	0.008	-0.064	-0.064	102.000	33.000	170.261	156.810	534.273	152.000	140.520	149.133	130.252	1.169	0.287	0.128	-0.128	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	115.000	33.000	140.048	134.540	534.418	128.147	124.038	132.214	116.947	2.152	0.241	0.139	-0.075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
34.000	35.000	34.000	231.075	171.236	497.073	157.017	131.115	137.048	127.327	2.433	0.563	-0.017	-0.222	35.000	34.000	231.536	190.083	497.073	138.215	120.048	125.750	116.910	5.630	-0.019	-0.056	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	34.000	141.833	127.113	497.073	133.145	125.880	136.667	113.034	7.322	-0.406	-0.090	0.161	47.000	34.000	313.938	260.090	496.276	225.149	191.515	204.846	181.034	1.239	-0.046	-0.053	-0.014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	34.000	210.077	170.216	527.390	163.385	138.357	144.333	125.041	2.363	0.065	-0.000	-0.029	103.000	34.000	178.227	161.580	533.179	153.670	144.480	151.550	132.451	1.288	0.119	-0.072	-0.129	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	116.000	34.000	135.550	130.307	529.526	129.185	122.421	129.267	116.464	2.198	0.046	0.064	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
35.000	36.000	35.000	227.000	167.596	487.311	158.906	133.957	143.083	126.720	2.460	0.027	0.021	-0.021	36.000	35.000	250.643	191.205	487.311	139.079	124.708	139.571	115.743	5.484	-0.146	-0.088	0.003	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	35.000	142.250	130.348	487.311	132.611	121.833	129.944	115.387	7.406	0.084	-0.124	-0.200	48.000	35.000	296.821	248.269	499.365	228.228	211.917	228.852	197.333	0.925	-0.314	-0.143	0.091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	35.000	190.815	170.867	527.774	162.670	134.792	145.857	125.887	2.298	-0.065	-0.000	0.012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	117.000	35.000	141.889	131.062	532.141	127.607	125.947	135.111	115.872	2.569	0.371	0.193	-0.129	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
36.000	37.000	36.000	225.714	171.667	500.839	156.500	132.846	139.042	126.759	1.832	-0.628	0.000	0.241	37.000	36.000	259.296	192.044	500.839	141.182	129.038	134.190	117.362	5.265	-0.219	-0.232	0.024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	36.000	198.607	166.613	500.839	138.677	120.042	124.571	113.752	9.063	1.657	-0.145	-1.642	49.000	36.000	306.941	254.591	500.239	233.071	212.765	246.235	203.166	0.860	-0.065	-0.113	-0.053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	36.000	196.667	160.901	533.257	170.982	148.036	153.800	123.972	2.428	0.130	-0.000	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	118.000	36.000	138.611	131.988	535.223	128.820	124.273	128.706	114.667	2.764	0.195	0.193	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
37.000	38.000	37.000	243.562	192.089	495.024	156.887	132.481	149.143	130.081	1.951	0.119	-0.024	-0.084	38.000	37.000	253.043	200.433	495.024	140.764	131.000	139.765	118.109	4.989	-0.276	-0.204	-0.032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	37.000	147.833	128.177	495.024	131.850	114.792	120.773	115.240	6.863	-2.200	-0.234	1.761	50.000	37.000	247.882	212.024	502.805	231.667	231.667	238.333	206.972	0.154	-0.707	0.087	0.436	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	37.000	194.560	164.283	539.336	171.212	133.536	138.458	128.040	2.290	-0.138	-0.000	0.139	106.000	37.000	164.826	146.213	529.327	144.961	136.227	144.143	132.705	1.085	1.085	0.000	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	119.000	37.000	149.810	137.534	539.680	130.390	122.667	125.444	115.145	3.238	0.474	0.210	-0.250	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
38.000	39.000	38.000	211.333	186.557	495.850	153.456	138.704	146.471	132.289	1.461	-0.490	-0.176	0.169	39.000	38.000	213.391	178.046	495.850	137.257	126.682	128.542	118.380	4.767	-0.222	0.000	0.171	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	38.000	145.308	129.295	495.850	130.328	120.826	126.765	113.980	6.679	-0.184	-0.145	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.000	38.000	192.889	163.011	534.273	166.051	133.393	144.647	126.020	2.290	0.000	-0.064	-0.000	107.000	38.000	169.963	152.034	533.318	148.866	141.250	153.583	129.605	1.494	0.409	0.130	-0.195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	120.000	38.000	151.000	138.950	535.471	130.158	123.842	146.000	113.379	3.701	0.463	0.331	-0.129	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
39.000	40.000	39.000	223.810	182.974	492.076	151.953	132.800	147.923	129.566	1.553	0.092	0.034	-0.089	40.000	39.000	229.556	192.405	492.076	139.805	128.542	139.636	118.479	4.794	0.027	-0.145	-0.113	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	39.000	148.957	128.979	492.076	135.369	122.458	132.667	113.550	6.438	-0.241	-0.214	-0.035	52.000	39.000	265.375	228.093	506.780	229.636	229.636	259.583	213.193	0.513	0.513	0.000	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	103.000	39.000	193.107	157.680	533.179	174.066	138.308	147.714	125.379	2.095	-0.195	-0.064	-0.014	108.000	39.000	158.750	150.929	536.126	149.339	138.667	157.500	129.546	1.559	0.065	0.133	0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	121.000	39.000	149.421	136.402	534.996	129.755	121.000	134.900	114.041	3.923	0.222	0.194	0.007	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
40.000	41.000	40.000	253.192	184.350	495.403	154.292	131.963	141.389	127.685	1.794	0.241	0.059	-0.151	41.000	40.000	266.185	199.265	495.403	141.531	127.708	135.545	118.486	4.932	0.138	0.059	-0.115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	40.000	149.931	128.525	495.403	134.060	123.037	141.000	115.196	6.457	0.019	-0.055	0.000	53.000	40.000	225.333	203.855	504.834	202.250	202.250	205.667	200.333	0.172	-0.342	0.184	0.230	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	104.000	40.000	191.733	167.609	528.756	174.187	135.704	144.500	129.523	2.176	0.081	-0.081	-0.055	109.000	40.000	165.179	152.639	534.940	148.916	135.720	177.000	133.419	1.651	0.092	0.065	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
41.000	42.000	41.000	227.692	187.974	495.011	155.537	137.000	147.750	128.564	1.878	0.084	0.000	-0.060	42.000	41.000	239.800	203.328	495.011	142.204	122.870	128.150	117.753	4.756	-0.176	-0.145	0.029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	41.000	151.864	127.256	495.011	134.181	121.769	131.357	113.895	6.162	-0.295	-0.055	0.179	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	105.000	41.000	204.964	170.282	532.879	169.161	133.286	142.611	128.097	2.211	0.035	-0.060	-0.076	110.000	41.000	168.567	154.772	533.059	148.764	139.955	151.700	132.692	1.846	0.195	0.065	-0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
